,fakeID,b_specialisation_i,b_specialisation_h,b_specialisation_g,b_specialisation_f,b_specialisation_e,b_specialisation_d,b_specialisation_c,b_specialisation_b,b_specialisation_a,b_specialisation_j,q_OpeningDays,q_2017 Average Household Size,q_2017 Total Households,q_2017 HHs: 5th Quintile (68.759 and above),q_5th Quint by Total HH,q_2017 Purchasing Power: Per Capita,q_2017 Total Population,"q_2017 Pop 15+/Edu: University, Fachhochschule",q_Uni by Total Pop,q_2017 Personal Care: Per Capita,q_2017 Medical Products: Per Capita,q_2017 Personal Effects: Per Capita,b_in_kontakt_gewesen,b_gekauft_gesamt,q_OpeningHours_manipulated,RF_prediction,UMAP1,UMAP2
23,965_6800,0,1,1,1,0,1,1,0,0,1,4,2.1,1071647,202509,0.188969875,23805.83,2253484,331352,0.147039872,593.7,327.39,236.99,1,1,24.0,1,12.48786,-13.258966
32,803_5587,0,1,1,1,1,1,0,0,0,1,0,2.1,1043301,194510,0.186437088,23717.99,2189176,323734,0.147879385,593.08,326.08,235.57,1,1,0.0,1,12.235877,-13.010908
49,590_7647,0,1,0,1,0,1,0,0,0,0,4,2.1,473398,85767,0.181173136,23476.57,990276,133990,0.135305713,590.81,327.88,233.7,1,1,20.0,1,12.233926,-13.008895
69,158_1074,1,1,1,1,1,1,0,1,1,0,7,2.1,1070901,202249,0.188858727,23803.99,2251494,331195,0.147100103,593.72,327.38,236.96,0,0,68.0,1,12.253002,-13.0276
1187,1271_8200,1,1,0,1,1,0,1,0,0,0,4,2.1,1054437,196870,0.186706271,23694.31,2216986,323966,0.146129024,592.33,326.0,235.5,0,0,20.0,1,12.536122,-13.30668
1366,327_2350,0,0,0,1,1,1,0,0,0,0,0,2.1,1026203,189776,0.184930272,23673.95,2149553,320314,0.149014237,592.88,325.57,234.82,0,0,0.0,1,12.233615,-13.008732
1445,1099_7483,0,0,1,0,1,0,1,0,0,0,0,2.1,958241,176263,0.183944331,23696.29,1995023,305566,0.153164149,593.84,326.81,234.68,0,0,0.0,1,12.52678,-13.297472
1492,312_4155,1,0,1,0,0,1,0,0,0,1,0,2.1,943942,172921,0.183190281,23607.91,1972385,294613,0.149368911,592.06,325.47,233.82,0,0,0.0,1,12.229123,-13.004092
1493,587_4155,1,0,1,0,0,1,0,0,0,0,4,2.1,992999,182209,0.183493639,23621.37,2076649,307971,0.148301904,592.37,325.67,234.21,0,0,29.0,1,12.233379,-13.008269
1905,184_2513,0,0,0,0,0,1,0,0,0,1,0,2.3,58526,10373,0.177237467,22230.01,134000,8892,0.066358209,559.51,326.93,228.78,0,0,0.0,1,12.203098,-12.978193
2121,1035_7241,1,1,1,1,1,1,0,0,0,0,4,2.1,1053482,196692,0.18670656,23696.49,2214815,323704,0.146153968,592.37,325.98,235.49,0,0,36.0,1,12.251475,-13.026175
2682,1393_8738,1,1,1,1,1,1,0,0,1,0,7,2.1,1020007,187705,0.184023247,23635.11,2135917,317292,0.148550716,592.44,325.13,234.31,0,0,60.0,1,12.245548,-13.020315
2744,1302_8345,1,1,1,1,1,0,1,0,0,0,3,2.1,1088843,204818,0.188106091,23745.07,2293047,330319,0.144052433,592.7,326.87,236.44,0,0,18.0,1,12.5282135,-13.29889
2801,39_1074,1,1,1,1,1,1,0,1,1,1,5,2.2,150298,30538,0.20318301,23858.96,329369,41123,0.124853887,584.7,325.57,238.02,0,0,40.0,1,12.263258,-13.037852
3235,1187_7870,0,1,0,0,0,1,0,0,0,1,3,2.1,1045171,195705,0.187246872,23759.8,2191293,326829,0.149148927,593.63,327.3,236.21,0,0,24.0,1,12.228887,-13.003821
3533,861_6272,0,1,1,1,1,1,1,1,1,1,0,2.1,1028614,190806,0.185498156,23690.81,2155819,321210,0.148996739,592.93,325.9,235.13,0,0,0.0,1,12.495344,-13.266324
3627,1186_7870,0,1,0,0,0,1,0,0,0,1,0,2.1,1093324,207590,0.189870523,23821.63,2302959,334940,0.145438977,593.56,327.75,237.41,0,0,0.0,1,12.219096,-12.994162
